student_name,exam,first_time,prev_exam_result,challenges_faced,prep_level,school_support,teacher_impact,fail_reason,prep_strategy,subject_failed,student_category,subjects_taken,income_bracket,year,jamb_score
Student_50,WAEC,Yes,Average,Time management,5,Counseling,Positive,nan,I review my notes daily,Commerce,Commercial,['English' 'Commerce' 'Economics' 'Accounting'],100-300,2020,230
Student_51,JAMB,Yes,Average,Anxiety,5,Extra lesson,nan,Inadequate preparation,I had many mock exams,Accounting,Commercial,['English' 'Commerce' 'Accounting' 'Economics'],100-300,2023,210
Student_52,WAEC,Yes,Good,Anxiety,4,nan,nan,Inadequate preparation,I focus on weak areas,Commerce,Commercial,['English' 'Accounting' 'Economics' 'Commerce'],0-100,2023,193
Student_53,WAEC,Yes,nan,Long waiting time,3,nan,nan,Procrastination,I put away other commitments,History,Art,['English' 'History' 'CRS' 'Literature in English'],0-100,2021,190
Student_54,JAMB and WAEC,Yes,Average,Long waiting time, ,Counseling,Positive & Negative,Poor Time management,I followed a routine,Economics,Commercial,['English' 'Accounting' 'Economics' 'Commerce'],300-500,2023,259
Student_55,WAEC,Yes,Good,Subject difficulty,2,Counseling,nan,Lack of planning,I review my notes daily,Literature in English,Art,['English' 'Literature in English' 'Government' 'CRS'],0-100,2021,191
Student_56,JAMB and WAEC,Yes,nan,No guardian/supervisor,5,nan,Negative,Lack of planning,I study with a partner,Government,Art,['English' 'Government' 'Literature in English' 'CRS'],"500-1,000",2022,228
Student_57,JAMB and WAEC,No,Bad,Time management,4,Moral Support,nan,Lack of planning,I followed a routine,Chemistry,Science,['English' 'Maths' 'Chemistry' 'Physics'],100-300,2021,215
Student_58,JAMB and WAEC,Yes,nan,Long waiting time,2,Moral Support,nan,nan,Used additional resources,CRS,Art,['English' 'CRS' 'Literature in English' 'Government'],0-100,2023,166
Student_59,JAMB and WAEC,No,nan,Long waiting time,4,Mock exams,nan,Procrastination,I review my notes daily,Accounting,Commercial,['English' 'Economics' 'Commerce' 'Accounting'],0-100,2022,191
Student_60,JAMB and WAEC,Yes,Good,Time management,4,nan,Positive & Negative,Inadequate preparation,I followed a routine,Chemistry,Science,['English' 'Physics' 'Chemistry' 'Biology'],100-300,2020,201
Student_61,JAMB,Yes,Bad,Lack of Finance,4,Mock exams,Negative,Inadequate preparation,I practice with past questions,Commerce,Commercial,['English' 'Economics' 'Commerce' 'Accounting'],"1,000 Upwards ",2022,257
Student_62,JAMB and WAEC,Yes,Average,Subject difficulty,3,Strict supervision,Negative,nan,I review my notes daily,Accounting,Commercial,['English' 'Accounting' 'Commerce' 'Economics'],0-100,2022,150
Student_63,WAEC,Yes,Good,nan,4,nan,nan,Lack of planning,I had many mock exams,History,Art,['English' 'Literature in English' 'CRS' 'History'],100-300,2021,248
Student_64,WAEC,Yes,Average,Fear,3,Extra lesson,nan,External issues,I attend extra classes,History,Art,['English' 'CRS' 'History' 'Government'],"1,000 Upwards ",2024,286
Student_65,JAMB,No,Bad,Long waiting time, ,Strict supervision,Positive & Negative,External issues,I had many mock exams,Biology,Science,['English' 'Biology' 'Chemistry' 'Maths'],300-500,2021,233
Student_66,JAMB and WAEC,No,nan,Time management,2,Moral Support,nan,nan,I attend extra classes,Physics,Science,['English' 'Physics' 'Chemistry' 'Biology'],300-500,2020,195
Student_67,JAMB,No,Good,Time management,5,Accountability partners,nan,Lack of planning,I focus on weak areas,Biology,Science,['English' 'Chemistry' 'Maths' 'Biology'],100-300,2020,236
Student_68,JAMB and WAEC,Yes,Bad,Time management,4,Strict supervision,nan,Procrastination,I review my notes daily,Accounting,Commercial,['English' 'Accounting' 'Commerce' 'Economics'],"1,000 Upwards ",2023,302
Student_69,JAMB,No,Good,Time management,3,Extra lesson,Positive,Procrastination,I practice with past questions,Government,Art,['English' 'Government' 'Literature in English' 'History'],300-500,2023,258
Student_70,WAEC,Yes,Bad,Long waiting time,5,Extra lesson,nan,nan,I followed a routine,Economics,Commercial,['English' 'Economics' 'Commerce' 'Accounting'],0-100,2021,173
Student_71,JAMB,Yes,Bad,Lack of Finance,3,Counseling,Positive & Negative,Inadequate preparation,I had many mock exams,Literature in English,Art,['English' 'Government' 'Literature in English' 'History'],0-100,2022,175
Student_72,JAMB,Yes,nan,nan,3,nan,Positive,Lack of planning,I attend extra classes,Government,Art,['English' 'CRS' 'Government' 'Literature in English'],100-300,2020,225
Student_73,JAMB,Yes,Average,Anxiety,4,Mock exams,Positive,Lack of planning,I followed a routine,Chemistry,Science,['English' 'Chemistry' 'Maths' 'Biology'],"1,000 Upwards ",2021,320
Student_74,JAMB,Yes,Good,Anxiety,5,Moral Support,nan,Poor Time management,I study with a partner,Commerce,Commercial,['English' 'Commerce' 'Economics' 'Accounting'],0-100,2023,163
Student_75,JAMB,Yes,Good,Fear,3,nan,Negative,Lack of planning,I review my notes daily,Physics,Science,['English' 'Chemistry' 'Maths' 'Physics'],"1,000 Upwards ",2020,267
Student_76,JAMB and WAEC,No,Bad,Fear,5,Moral Support,nan,Procrastination,I review my notes daily,Maths,Science,['English' 'Physics' 'Chemistry' 'Maths'],"1,000 Upwards ",2022,299
Student_77,WAEC,Yes,nan,Anxiety,4,Mock exams,Positive,Lack of planning,I focus on weak areas,Commerce,Commercial,['English' 'Commerce' 'Economics' 'Accounting'],"500-1,000",2023,280
Student_78,WAEC,Yes,Good,Fear, ,nan,Positive & Negative,nan,I study with a partner,Chemistry,Science,['English' 'Maths' 'Chemistry' 'Biology'],300-500,2022,255
Student_79,WAEC,Yes,Good,Fear, ,Strict supervision,Positive,nan,I had many mock exams,Commerce,Commercial,['English' 'Commerce' 'Economics' 'Accounting'],100-300,2024,187
Student_80,WAEC,No,nan,Lack of Finance,4,Mock exams,Positive,Inadequate preparation,I followed a routine,CRS,Art,['English' 'CRS' 'History' 'Government'],100-300,2022,202
Student_81,JAMB and WAEC,Yes,Bad,Fear,4,nan,Positive,Inadequate preparation,I followed a routine,Literature in English,Art,['English' 'Literature in English' 'History' 'Government'],0-100,2022,200
Student_82,JAMB and WAEC,No,Average,No guardian/supervisor,1,Mock exams,nan,nan,I review my notes daily,History,Art,['English' 'Literature in English' 'History' 'Government'],"1,000 Upwards ",2024,258
Student_83,JAMB,No,Bad,Time management,5,Counseling,nan,nan,I study with a partner,Biology,Science,['English' 'Biology' 'Chemistry' 'Physics'],"1,000 Upwards ",2023,285
Student_84,JAMB,No,Bad,Long waiting time,4,Counseling,Negative,Procrastination,I attend extra classes,CRS,Art,['English' 'History' 'CRS' 'Government'],"500-1,000",2020,223
Student_85,JAMB and WAEC,Yes,Good,Long waiting time,5,Counseling,nan,Inadequate preparation,I review my notes daily,Accounting,Commercial,['English' 'Economics' 'Commerce' 'Accounting'],"500-1,000",2022,256
Student_86,JAMB,Yes,Good,Time management,4,nan,nan,Inadequate preparation,I had many mock exams,Economics,Commercial,['English' 'Accounting' 'Economics' 'Commerce'],"1,000 Upwards ",2023,270
Student_87,JAMB and WAEC,No,Average,nan,5,Mock exams,Negative,External issues,I focus on weak areas,Maths,Science,['English' 'Biology' 'Chemistry' 'Maths'],100-300,2020,219
Student_88,JAMB and WAEC,Yes,Bad,Lack of Finance,2,Accountability partners,Positive,Inadequate preparation,I study with a partner,Physics,Science,['English' 'Physics' 'Maths' 'Chemistry'],100-300,2023,167
Student_89,WAEC,Yes,Bad,Fear,3,Counseling,Negative,nan,I focus on weak areas,Government,Art,['English' 'History' 'Literature in English' 'Government'],100-300,2020,209
Student_90,JAMB,Yes,Bad,Technical issues,3,nan,nan,Procrastination,I followed a routine,Physics,Science,['English' 'Physics' 'Biology' 'Maths'],0-100,2022,227
Student_91,JAMB,Yes,Bad,nan,3,nan,Positive & Negative,External issues,I had many mock exams,CRS,Art,['English' 'Literature in English' 'Government' 'CRS'],100-300,2022,232
Student_92,JAMB,Yes,Bad,Fear,2,Extra lesson,Positive & Negative,Procrastination,I focus on weak areas,Biology,Science,['English' 'Physics' 'Biology' 'Chemistry'],0-100,2023,182
Student_93,JAMB,No,nan,Lack of Finance,4,Strict supervision,nan,External issues,I attend extra classes,CRS,Art,['English' 'CRS' 'History' 'Literature in English'],"500-1,000",2022,254
Student_94,WAEC,Yes,Bad,No guardian/supervisor,5,Mock exams,nan,Lack of planning,I followed a routine,Economics,Commercial,['English' 'Accounting' 'Economics' 'Commerce'],"500-1,000",2020,250
Student_95,JAMB,No,Bad,nan,3,Accountability partners,nan,nan,I attend extra classes,Chemistry,Science,['English' 'Chemistry' 'Maths' 'Biology'],100-300,2024,247
Student_96,JAMB and WAEC,No,Good,Time management,5,Counseling,Negative,Lack of planning,I had many mock exams,Maths,Science,['English' 'Physics' 'Maths' 'Chemistry'],300-500,2023,259
Student_97,JAMB and WAEC,No,Bad,Anxiety, ,Moral Support,Positive,Procrastination,I followed a routine,History,Art,['English' 'CRS' 'Literature in English' 'History'],0-100,2022,210
Student_98,WAEC,Yes,Average,Time management,5,nan,Positive & Negative,Lack of planning,I review my notes daily,Economics,Commercial,['English' 'Commerce' 'Accounting' 'Economics'],"1,000 Upwards ",2023,272
Student_99,JAMB,Yes,Average,Fear,3,nan,nan,Procrastination,I followed a routine,Economics,Commercial,['English' 'Commerce' 'Economics' 'Accounting'],"1,000 Upwards ",2021,308
Student_100,JAMB and WAEC,Yes,nan,Fear, ,Extra lesson,nan,External issues,I had many mock exams,Literature in English,Art,['English' 'Literature in English' 'History' 'CRS'],0-100,2023,227
Student_101,JAMB and WAEC,Yes,Bad,Anxiety,2,Extra lesson,Positive,Poor Time management,I had many mock exams,Accounting,Commercial,['English' 'Accounting' 'Economics' 'Commerce'],100-300,2023,203
Student_102,JAMB,No,Bad,nan,5,Counseling,Negative,nan,I put away other commitments,History,Art,['English' 'Government' 'History' 'CRS'],0-100,2022,219
Student_103,JAMB and WAEC,No,Bad,Time management,2,Moral Support,nan,External issues,I practice with past questions,Biology,Science,['English' 'Physics' 'Chemistry' 'Biology'],300-500,2021,274
Student_104,JAMB,Yes,Good,Lack of Finance,3,Mock exams,Positive & Negative,nan,I focus on weak areas,Economics,Commercial,['English' 'Economics' 'Accounting' 'Commerce'],"1,000 Upwards ",2023,236
Student_105,JAMB,No,Good,Fear,3,Mock exams,Positive & Negative,Procrastination,I study with a partner,Biology,Science,['English' 'Maths' 'Physics' 'Biology'],0-100,2022,169
Student_106,JAMB and WAEC,Yes,Good,Technical issues,5,Extra lesson,Negative,Inadequate preparation,I study with a partner,Government,Art,['English' 'History' 'CRS' 'Government'],0-100,2022,238
Student_107,JAMB,Yes,Bad,nan,5,nan,Positive & Negative,External issues,I review my notes daily,Economics,Commercial,['English' 'Economics' 'Commerce' 'Accounting'],100-300,2020,177
Student_108,JAMB and WAEC,No,Average,Anxiety,3,Strict supervision,Positive & Negative,nan,I followed a routine,Maths,Science,['English' 'Chemistry' 'Maths' 'Physics'],300-500,2020,251
Student_109,JAMB,No,Bad,Anxiety,5,nan,Positive,Inadequate preparation,I focus on weak areas,Biology,Science,['English' 'Biology' 'Chemistry' 'Maths'],0-100,2024,176
Student_110,JAMB and WAEC,Yes,Bad,nan,5,Counseling,Positive,nan,I followed a routine,Accounting,Commercial,['English' 'Accounting' 'Economics' 'Commerce'],0-100,2022,237
Student_111,WAEC,Yes,Average,nan,4,Extra lesson,nan,nan,I followed a routine,Chemistry,Science,['English' 'Biology' 'Chemistry' 'Physics'],0-100,2020,213
Student_112,JAMB and WAEC,Yes,Good,Time management,5,nan,nan,nan,I had many mock exams,Physics,Science,['English' 'Biology' 'Maths' 'Physics'],0-100,2021,168
Student_113,JAMB and WAEC,Yes,Good,Long waiting time,4,nan,Positive,Lack of planning,I study with a partner,Commerce,Commercial,['English' 'Economics' 'Accounting' 'Commerce'],"1,000 Upwards ",2020,293
Student_114,JAMB,No,Good,Time management,5,Mock exams,Positive,Poor Time management,I attend extra classes,Physics,Science,['English' 'Biology' 'Maths' 'Physics'],0-100,2020,251
Student_115,WAEC,No,nan,No guardian/supervisor,4,nan,nan,nan,I had many mock exams,Maths,Science,['English' 'Biology' 'Maths' 'Chemistry'],"1,000 Upwards ",2022,296
Student_116,JAMB and WAEC,Yes,Good,Fear,3,nan,Negative,External issues,I focus on weak areas,History,Art,['English' 'History' 'CRS' 'Government'],300-500,2021,249
Student_117,JAMB,Yes,Bad,nan,5,Extra lesson,nan,Inadequate preparation,I followed a routine,Economics,Commercial,['English' 'Accounting' 'Commerce' 'Economics'],"1,000 Upwards ",2022,270
Student_118,WAEC,Yes,Average,Fear,5,Mock exams,nan,Lack of planning,Used additional resources,Biology,Science,['English' 'Maths' 'Physics' 'Biology'],"500-1,000",2022,265
Student_750,WAEC,No,Bad,nan,4,nan,nan,Inadequate preparation,I had many mock exams,Biology,Science,['English' 'Biology' 'Chemistry' 'Maths'],"500-1,000",2021,245
Student_119,JAMB,Yes,nan,Fear, ,Extra lesson,Positive & Negative,Procrastination,I followed a routine,Physics,Science,['English' 'Maths' 'Chemistry' 'Physics'],300-500,2024,208
Student_120,JAMB and WAEC,No,Good,Time management,5,Strict supervision,Positive,Procrastination,I practice with past questions,Literature in English,Art,['English' 'Government' 'Literature in English' 'History'],100-300,2021,165
Student_121,JAMB,No,nan,Fear, ,nan,nan,Inadequate preparation,I followed a routine,Literature in English,Art,['English' 'History' 'CRS' 'Literature in English'],100-300,2020,207
Student_122,JAMB and WAEC,No,Good,Technical issues,4,Extra lesson,nan,Procrastination,I review my notes daily,History,Art,['English' 'CRS' 'History' 'Government'],0-100,2023,212
Student_123,WAEC,No,Bad,Time management,1,nan,Positive & Negative,Lack of planning,I review my notes daily,Accounting,Commercial,['English' 'Commerce' 'Economics' 'Accounting'],100-300,2023,191
Student_124,JAMB,No,Bad,Time management,3,nan,Negative,Procrastination,I study with a partner,History,Art,['English' 'Government' 'History' 'Literature in English'],"500-1,000",2022,207
Student_125,JAMB and WAEC,Yes,Average,Other commitments,2,Mock exams,Positive,nan,I study with a partner,Chemistry,Science,['English' 'Chemistry' 'Physics' 'Biology'],300-500,2020,217
Student_126,WAEC,Yes,Good,Fear,3,Mock exams,nan,Inadequate preparation,I followed a routine,Accounting,Commercial,['English' 'Accounting' 'Economics' 'Commerce'],100-300,2022,231
Student_127,WAEC,Yes,Bad,Other commitments,5,Mock exams,nan,External issues,I followed a routine,Chemistry,Science,['English' 'Physics' 'Maths' 'Chemistry'],"500-1,000",2021,276
Student_128,JAMB,Yes,Average,Long waiting time, ,Mock exams,nan,Inadequate preparation,I had many mock exams,Biology,Science,['English' 'Maths' 'Chemistry' 'Biology'],"500-1,000",2021,236
Student_129,WAEC,No,Average,nan,3,Strict supervision,Positive & Negative,Lack of planning,I attend extra classes,Economics,Commercial,['English' 'Economics' 'Accounting' 'Commerce'],100-300,2022,256
Student_130,JAMB and WAEC,Yes,Bad,Anxiety,4,nan,Negative,Procrastination,I focus on weak areas,Accounting,Commercial,['English' 'Commerce' 'Accounting' 'Economics'],0-100,2023,209
Student_131,WAEC,Yes,Bad,Fear,3,nan,nan,Inadequate preparation,I attend extra classes,Maths,Science,['English' 'Physics' 'Chemistry' 'Maths'],"1,000 Upwards ",2020,280
Student_132,JAMB and WAEC,Yes,Average,Lack of time due to chores/work,2,Mock exams,nan,External issues,I had many mock exams,Biology,Science,['English' 'Maths' 'Biology' 'Physics'],100-300,2024,232
Student_133,WAEC,Yes,Good,Fear,3,nan,nan,nan,I had many mock exams,History,Art,['English' 'Literature in English' 'Government' 'History'],300-500,2022,244
Student_134,JAMB,Yes,Good,Fear,1,nan,Positive & Negative,Inadequate preparation,I attend extra classes,Economics,Commercial,['English' 'Commerce' 'Economics' 'Accounting'],"1,000 Upwards ",2021,309
Student_135,JAMB and WAEC,Yes,nan,Long waiting time, ,Mock exams,Positive & Negative,Procrastination,I review my notes daily,History,Art,['English' 'Government' 'Literature in English' 'History'],"500-1,000",2024,304
Student_136,WAEC,Yes,Bad,No guardian/supervisor,3,nan,nan,Lack of planning,I had many mock exams,Literature in English,Art,['English' 'CRS' 'Literature in English' 'History'],300-500,2023,231
Student_137,JAMB,No,Bad,Anxiety,5,Accountability partners,Positive & Negative,Procrastination,I had many mock exams,History,Art,['English' 'Literature in English' 'History' 'CRS'],"500-1,000",2022,249
Student_138,JAMB and WAEC,No,Good,Time management,2,Accountability partners,Negative,Poor Time management,I attend extra classes,Economics,Commercial,['English' 'Commerce' 'Economics' 'Accounting'],"1,000 Upwards ",2022,295
Student_139,JAMB,No,Good,Fear,3,Strict supervision,Positive & Negative,Inadequate preparation,I focus on weak areas,Literature in English,Art,['English' 'CRS' 'Literature in English' 'Government'],"1,000 Upwards ",2022,305
Student_140,JAMB,Yes,Bad,Long waiting time,4,Counseling,Positive,nan,Used additional resources,Physics,Science,['English' 'Maths' 'Chemistry' 'Physics'],300-500,2022,242
Student_141,WAEC,Yes,Bad,Lack of Finance,1,nan,nan,Inadequate preparation,I review my notes daily,History,Art,['English' 'Literature in English' 'CRS' 'History'],300-500,2024,239
Student_142,JAMB,No,Good,Long waiting time,2,nan,Positive,Poor Time management,I had many mock exams,Government,Art,['English' 'CRS' 'Government' 'History'],0-100,2024,150
Student_143,JAMB and WAEC,Yes,Bad,Subject difficulty,5,Strict supervision,nan,Procrastination,I followed a routine,Chemistry,Science,['English' 'Physics' 'Chemistry' 'Maths'],"500-1,000",2021,279
Student_144,JAMB,No,Average,Technical issues,5,Counseling,Negative,Inadequate preparation,I followed a routine,Accounting,Commercial,['English' 'Economics' 'Commerce' 'Accounting'],0-100,2023,217
Student_145,JAMB and WAEC,Yes,nan,Time management,3,Mock exams,Positive & Negative,Poor Time management,I put away other commitments,CRS,Art,['English' 'CRS' 'Government' 'Literature in English'],"1,000 Upwards ",2022,269
Student_146,JAMB and WAEC,Yes,Good,Long waiting time,3,Accountability partners,nan,Inadequate preparation,I study with a partner,Maths,Science,['English' 'Chemistry' 'Maths' 'Biology'],0-100,2023,189
Student_147,JAMB and WAEC,Yes,Average,nan,3,Mock exams,nan,Inadequate preparation,I followed a routine,Physics,Science,['English' 'Maths' 'Biology' 'Physics'],0-100,2022,187
Student_148,WAEC,Yes,Bad,nan,5,Strict supervision,nan,Procrastination,I had many mock exams,Maths,Science,['English' 'Biology' 'Chemistry' 'Maths'],"500-1,000",2020,238
Student_149,JAMB and WAEC,Yes,Good,Time management,3,Mock exams,Positive & Negative,Inadequate preparation,I review my notes daily,Chemistry,Science,['English' 'Chemistry' 'Biology' 'Maths'],"500-1,000",2024,302
Student_150,JAMB,Yes,nan,Long waiting time,5,nan,nan,Lack of planning,I attend extra classes,History,Art,['English' 'Literature in English' 'CRS' 'History'],300-500,2023,276
Student_151,JAMB,No,Average,Long waiting time,4,Extra lesson,Negative,Lack of planning,I put away other commitments,Chemistry,Science,['English' 'Biology' 'Chemistry' 'Physics'],0-100,2024,159
Student_152,JAMB and WAEC,No,Bad,Anxiety,5,Extra lesson,Negative,Poor Time management,I practice with past questions,Physics,Science,['English' 'Maths' 'Chemistry' 'Physics'],0-100,2024,156
Student_153,JAMB and WAEC,Yes,nan,No guardian/supervisor,5,Moral Support,nan,nan,I followed a routine,Chemistry,Science,['English' 'Chemistry' 'Physics' 'Maths'],"500-1,000",2024,216
Student_154,JAMB,Yes,Bad,Lack of time due to chores/work,4,Strict supervision,Negative,Lack of planning,I study with a partner,Biology,Science,['English' 'Chemistry' 'Biology' 'Physics'],0-100,2024,207
Student_155,WAEC,Yes,Bad,Fear,3,Strict supervision,Positive & Negative,Inadequate preparation,I attend extra classes,History,Art,['English' 'History' 'CRS' 'Literature in English'],100-300,2023,242
